UserID,Birthday,ZodiacSign,Gender,FavoriteProduct,FavoriteCategory,SecondFavoriteProduct,StreamingServices,Gambling,FavoriteStore,Travel,Email
1,2002-01-13,Capricorn,Other,C,X,E,Yes,No,C2,Yes,tfmlhgau@sample.com
2,1971-07-30,Leo,Other,B,W,H,Yes,Yes,A1,No,eotrdsjl@sample.com
3,1969-11-29,Sagittarius,Male,B,Z,G,No,No,A1,No,hpjtlujb@sample.com
4,1947-05-28,Gemini,Male,C,X,H,No,No,D3,No,crmcsqfb@sample.com
5,2002-01-06,Capricorn,Other,A,Z,G,No,No,B1,Yes,vqtpibxu@sample.com
6,1987-09-25,Libra,Male,C,W,H,Yes,Yes,B2,Yes,svjshhlq@sample.com
7,1975-07-31,Leo,Female,C,Z,F,Yes,No,C2,Yes,tyupxtwt@sample.com
8,1952-01-01,Capricorn,Female,D,W,F,Yes,No,B1,No,sljeunpk@sample.com
9,1967-02-28,Pisces,Other,B,Y,F,No,Yes,A1,Yes,xtpuvhyu@sample.com
10,1969-02-26,Pisces,Male,D,X,F,No,No,D3,Yes,nhlkvztg@sample.com
11,1951-01-24,Aquarius,Male,B,Z,E,No,No,B2,Yes,ltrhgnzy@sample.com
12,1989-08-28,Virgo,Female,C,W,G,No,Yes,D3,Yes,rwydshru@sample.com
13,1975-07-21,Cancer,Other,D,W,G,No,Yes,C4,No,dcenbfpj@sample.com
14,2000-12-07,Sagittarius,Female,A,X,E,Yes,Yes,B1,Yes,gimtusop@sample.com
15,2000-08-08,Leo,Female,D,Z,G,Yes,Yes,C4,Yes,muglayni@sample.com
16,1966-11-09,Scorpio,Female,B,W,H,No,No,B1,Yes,efwgqnxy@sample.com
17,1947-01-12,Capricorn,Other,C,X,F,No,Yes,B2,Yes,ifylavyb@sample.com
18,1983-07-13,Cancer,Male,D,X,H,Yes,No,B1,No,pgnbfoeq@sample.com
19,1988-08-28,Virgo,Female,D,X,G,Yes,Yes,B2,Yes,lxrcgbvb@sample.com
20,1960-06-14,Gemini,Female,A,Z,G,Yes,No,D3,No,bdieosck@sample.com
21,1949-10-28,Scorpio,Other,C,W,F,Yes,Yes,D3,No,thxtsxze@sample.com
22,1976-10-21,Libra,Female,B,Z,F,No,Yes,D3,Yes,nyfkpshm@sample.com
23,2002-07-16,Cancer,Male,B,Y,H,No,No,D3,No,kygemjbj@sample.com
24,2006-11-26,Sagittarius,Male,D,W,G,Yes,Yes,B2,Yes,lwfxjyev@sample.com
25,1971-01-22,Aquarius,Female,D,Z,E,Yes,Yes,A1,No,dwswxyob@sample.com
26,1946-09-04,Virgo,Male,C,Z,F,No,No,D3,Yes,edurcquz@sample.com
27,1989-12-06,Sagittarius,Male,A,Z,F,Yes,No,A1,Yes,gdwudjnk@sample.com
28,1948-10-06,Libra,Male,D,W,H,Yes,Yes,C4,No,tvbqnbio@sample.com
29,1979-07-13,Cancer,Male,C,W,G,Yes,Yes,A1,No,ozdxihcj@sample.com
30,2005-11-19,Scorpio,Female,C,Z,F,Yes,No,D3,Yes,dxkxigmx@sample.com
31,1969-11-27,Sagittarius,Female,D,W,F,No,Yes,C2,No,btepeckg@sample.com
32,1946-06-29,Cancer,Female,D,X,F,Yes,No,B1,Yes,wfxrnxkh@sample.com
33,1960-03-14,Pisces,Male,A,Z,G,No,Yes,B2,Yes,choyzttb@sample.com
34,1985-10-02,Libra,Other,A,Z,F,No,No,C2,Yes,uspwxlru@sample.com
35,1994-06-02,Gemini,Male,C,W,G,No,No,A1,Yes,vnbbttky@sample.com
36,1959-07-09,Cancer,Male,B,Y,E,No,No,C4,No,poffztpf@sample.com
37,1970-07-01,Cancer,Female,B,X,E,Yes,No,A1,No,vxwfbrth@sample.com
38,1970-12-08,Sagittarius,Male,A,Y,F,No,Yes,B1,No,ojgnbnji@sample.com
39,1986-11-22,Sagittarius,Other,C,Y,H,No,No,B1,No,gcnconeb@sample.com
40,1945-11-10,Scorpio,Other,A,W,F,Yes,Yes,D3,No,kjojabjk@sample.com
41,1987-11-12,Scorpio,Female,B,Y,F,No,No,A1,Yes,ohsposcm@sample.com
42,1964-03-28,Aries,Male,D,X,E,No,No,C4,No,dskayzkk@sample.com
43,1946-03-26,Aries,Female,D,Z,E,No,Yes,C4,Yes,kcbymctr@sample.com
44,1955-07-04,Cancer,Female,A,Y,H,No,Yes,D3,Yes,lbgxfxha@sample.com
45,1992-03-30,Aries,Male,D,X,F,No,Yes,C2,Yes,phnaohlp@sample.com
46,1982-11-13,Scorpio,Female,A,Y,E,No,Yes,A1,Yes,djpumgqp@sample.com
47,2006-02-03,Aquarius,Female,A,X,F,No,No,D3,No,rgagkxvb@sample.com
48,1976-08-27,Virgo,Other,A,X,G,Yes,Yes,D3,Yes,xmnzqoey@sample.com
49,1945-03-14,Pisces,Female,A,Y,H,No,Yes,C4,No,bhdrjxok@sample.com
