UserID,Birthday,ZodiacSign,Gender,FavoriteProduct,FavoriteCategory,SecondFavoriteProduct,StreamingServices,Gambling,FavoriteStore,Travel,Email
1,2002-01-13,Capricorn,Other,Cerveza Tecate Roja,Frituras,Café Andatti,Yes,No,Monterrey,Yes,tfmlhgau@sample.com
2,1971-07-30,Leo,Other,Cerveza Tecate Roja,Refrescos,Coca Cola,Yes,Yes,Monterrey,No,eotrdsjl@sample.com
3,1969-11-29,Sagittarius,Male,Galletas Oreo,Galletas,Cerveza Victoria,No,No,Cancún,No,hpjtlujb@sample.com
4,1947-05-28,Gemini,Male,Galletas Oreo,Bebidas isotónicas,Galletas Emperador,No,No,Puebla,No,crmcsqfb@sample.com
5,2002-01-06,Capricorn,Other,Galletas Emperador,Cervezas,Coca Cola,No,No,CDMX,Yes,vqtpibxu@sample.com
6,1987-09-25,Libra,Male,Chocolate Crunch,Frituras,Chocolate Crunch,Yes,Yes,Cancún,Yes,svjshhlq@sample.com
7,1975-07-31,Leo,Female,Coca Cola,Bebidas isotónicas,Gatorade de Naranja,Yes,No,Monterrey,Yes,tyupxtwt@sample.com
8,1952-01-01,Capricorn,Female,Chocolate Crunch,Bebidas isotónicas,Cigarros,Yes,No,Puebla,No,sljeunpk@sample.com
9,1967-02-28,Pisces,Other,Cigarros,Bebidas isotónicas,Chocolate Crunch,No,Yes,Tijuana,Yes,xtpuvhyu@sample.com
10,1969-02-26,Pisces,Male,Ruffles de Queso,Chocolates,Cigarros,No,No,Puebla,Yes,nhlkvztg@sample.com
11,1951-01-24,Aquarius,Male,Cerveza Victoria,Refrescos,Cerveza Victoria,No,No,Guadalajara,Yes,ltrhgnzy@sample.com
12,1989-08-28,Virgo,Female,Café Andatti,Cervezas,Cerveza Victoria,No,Yes,Cancún,Yes,rwydshru@sample.com
13,1975-07-21,Cancer,Other,Ruffles de Queso,Refrescos,Café Andatti,No,Yes,Cancún,No,dcenbfpj@sample.com
14,2000-12-07,Sagittarius,Female,Coca Cola,Pan Dulce,Cigarros,Yes,Yes,Cuernavaca,Yes,gimtusop@sample.com
15,2000-08-08,Leo,Female,Ruffles de Queso,Café Americano,Cigarros,Yes,Yes,CDMX,Yes,muglayni@sample.com
16,1966-11-09,Scorpio,Female,Gatorade de Naranja,Galletas,Coca Cola,No,No,Monterrey,Yes,efwgqnxy@sample.com
17,1947-01-12,Capricorn,Other,Chocolate Crunch,Refrescos,Coca Cola,No,Yes,CDMX,Yes,ifylavyb@sample.com
